supermercado,nombre,nombre_limpio,precio,url,seccion
ahorramas,LOTE de Pollo: 1Kg de Contramuslos + 1Kg de Jamoncitos,lote de pollo: 1kg de contramuslos + 1kg de jamoncitos,5.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Jamón raza duroc Batalle al corte,jamon raza duroc batalle al corte,40.00,https://www.ahorramas.com/frescos,frescos
ahorramas,Salmón en lomos,salmon en lomos,22.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Potón del Pacífico en anillas,poton del pacifico en anillas,11.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Albaricoque,albaricoque,4.69,https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pollo amarillo Pazo de Pías,pechuga de pollo amarillo pazo de pias,9.79,https://www.ahorramas.com/frescos,frescos
ahorramas,Lomo pez espada,lomo pez espada,16.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso havarti Arla,queso havarti arla,16.50,https://www.ahorramas.com/frescos,frescos
ahorramas,Jamón de cebo 50% raza ibérico Legado ibérico al corte,jamon de cebo 50% raza iberico legado iberico al corte,68.00,https://www.ahorramas.com/frescos,frescos
ahorramas,Jamón cocido extra Alipende,jamon cocido extra alipende,9.90,https://www.ahorramas.com/frescos,frescos
ahorramas,Choped ham gourmet Tello,choped ham gourmet tello,9.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Pimiento verde lamuyo,pimiento verde lamuyo,3.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Batata,batata,3.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo adobada,pechuga de pavo adobada,8.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Magro de cerdo duroc en trozos especial guisos y estofados,magro de cerdo duroc en trozos especial guisos y estofados,6.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Tournedo añojo 1ªA,tournedo anojo 1aa,19.99,https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 2kg de alas de pollo,lote 2kg de alas de pollo,4.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Ragout de añojo selección,ragout de anojo seleccion,15.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Morcillo de añojo,morcillo de anojo,15.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Pavo Elpozo 1954 con trufa y boletus,pavo elpozo 1954 con trufa y boletus,14.95,https://www.ahorramas.com/frescos,frescos
ahorramas,Chuletas de cordero recental,chuletas de cordero recental,24.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Melón Galia,melon galia,2.89,https://www.ahorramas.com/frescos,frescos
ahorramas,Gambón,gambon,11.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Manzana Granny Smith,manzana granny smith,2.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso barra Alipende,queso barra alipende,10.67,https://www.ahorramas.com/frescos,frescos
ahorramas,Secreto de cerdo duroc,secreto de cerdo duroc,9.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo Campofrío braseado,pechuga de pavo campofrio braseado,15.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Mortadela ibérica ElPozo,mortadela iberica elpozo,8.95,https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate Cherokee,tomate cherokee,4.89,https://www.ahorramas.com/frescos,frescos
ahorramas,Gamba arrocera,gamba arrocera,16.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Conejo,conejo,8.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Bacalao en filetes,bacalao en filetes,16.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Lomo embuchado de Teruel Monroyo,lomo embuchado de teruel monroyo,18.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo,pechuga de pavo,8.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Alas de pollo amarillo Pazo de Pías,alas de pollo amarillo pazo de pias,6.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Jamón cocido Frial gran selección duroc,jamon cocido frial gran seleccion duroc,17.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Salchichón extra Oliveras,salchichon extra oliveras,10.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Sardinas parrochas,sardinas parrochas,4.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Ciruela roja,ciruela roja,3.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Chuletas de pavo al ajillo,chuletas de pavo al ajillo,7.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Carrillada de cerdo,carrillada de cerdo,13.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Bacon ahumado Alipende,bacon ahumado alipende,11.69,https://www.ahorramas.com/frescos,frescos
ahorramas,Chuleta de lomo cerdo duroc,chuleta de lomo cerdo duroc,7.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso barra Larsa,queso barra larsa,11.95,https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo ElPozo sin grasa y reducida en sal,pechuga de pavo elpozo sin grasa y reducida en sal,14.95,https://www.ahorramas.com/frescos,frescos
ahorramas,Cinta de lomo fresca de cerdo duroc,cinta de lomo fresca de cerdo duroc,8.99,https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE de Pollo: 1Kg de Pechugas + 1Kg de Alas,lote de pollo: 1kg de pechugas + 1kg de alas,6.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Pavo con olivas 7 Hermanos,pavo con olivas 7 hermanos,8.50,https://www.ahorramas.com/frescos,frescos
ahorramas,Mejillón extra,mejillon extra,4.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Tira de costilla de cerdo,tira de costilla de cerdo,10.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Jamoncitos de pollo (Muslos de pollo),jamoncitos de pollo (muslos de pollo),4.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Manzana reineta,manzana reineta,2.69,https://www.ahorramas.com/frescos,frescos
ahorramas,Salmón en filetes,salmon en filetes,21.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso de cincho Angulo,queso de cincho angulo,12.29,https://www.ahorramas.com/frescos,frescos
ahorramas,Cinta de lomo de cerdo duroc al ajillo,cinta de lomo de cerdo duroc al ajillo,8.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Merluza por medias o enteras peso aproximado pieza 4kg,merluza por medias o enteras peso aproximado pieza 4kg,15.99,https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 2 kg de pechugas de pollo,lote 2 kg de pechugas de pollo,7.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Pimiento rojo italiano,pimiento rojo italiano,4.69,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso de cabra Marcos Conde,queso de cabra marcos conde,16.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate cherry Sunstream,tomate cherry sunstream,13.96,https://www.ahorramas.com/frescos,frescos
ahorramas,Salchichón ibérico Florencio Gómez,salchichon iberico florencio gomez,20.99,https://www.ahorramas.com/frescos,frescos
