supermercado,nombre,nombre_limpio,precio,url,seccion
alcampo,ALCAMPO CULTIVAMOS LO BUENO Compota de manzana y plátano pack 4 uds. x 100 g.,alcampo cultivamos lo bueno compota de manzana y platano pack 4 uds. x 100 g.,2.65,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Compota de manzana y pera pack 4 uds. x 100 g.,alcampo cultivamos lo bueno compota de manzana y pera pack 4 uds. x 100 g.,2.65,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Piña entera DEL MONTE,pina entera del monte,5.02,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,INNOCENT Smoothie mango y maracuyá 250 ml.,innocent smoothie mango y maracuya 250 ml.,2.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Ciruela roja, bandeja de 500 g.","ciruela roja, bandeja de 500 g.",2.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Yuca a granel,yuca a granel,3.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Nectarinas ecológicas 600 g.,nectarinas ecologicas 600 g.,3.89,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Papayón a granel,papayon a granel,5.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Peras conferencia bandeja,peras conferencia bandeja,4.29,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Melocotones rojos extra, bandeja de 600 g.","melocotones rojos extra, bandeja de 600 g.",3.89,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Compota de manzana y piña pack 4 uds. x 100 g.,alcampo cultivamos lo bueno compota de manzana y pina pack 4 uds. x 100 g.,2.65,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Pera ercolini a granel.,pera ercolini a granel.,3.59,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas Grany bandeja,manzanas grany bandeja,3.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Ciruela amarilla a granel.,ciruela amarilla a granel.,3.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Peras ecológicas bandeja de 700 g.,peras ecologicas bandeja de 700 g.,3.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas Royal Gala bandeja,manzanas royal gala bandeja,3.69,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO Compota de manzana y melocotón postre ecológico pack 4 uds. x 100 g.,alcampo cultivamos lo bueno ecologico compota de manzana y melocoton postre ecologico pack 4 uds. x 100 g.,3.79,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Melocotón carne blanca a granel.,melocoton carne blanca a granel.,2.69,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO Compota de manzana ecológica Pack de 4 uds. x 100 g.,alcampo cultivamos lo bueno ecologico compota de manzana ecologica pack de 4 uds. x 100 g.,3.79,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Ciruela verde,ciruela verde,2.35,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Papayón maduro 1 pz.,papayon maduro 1 pz.,6.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Peras limoneras a granel,peras limoneras a granel,3.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Uvas blancas, cesta de 500 g.","uvas blancas, cesta de 500 g.",1.89,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
